,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,Level,clara.res.clustering
877,1,3,1,3,5,1,4,4,2,5,5,2,1,4,2,3,1,1,3,2,4,3,3,2,4,2.76,1
210,5,1,3,2,1,5,4,4,5,3,1,4,1,2,3,1,4,1,3,5,1,2,3,2,4,2.8,1
271,1,3,4,2,5,3,1,4,5,4,3,2,1,2,3,2,1,2,3,4,5,4,3,2,1,2.8,1
325,3,1,4,1,2,1,4,2,4,3,1,4,2,4,5,5,2,2,4,2,2,2,2,4,4,2.8,1
443,5,1,3,1,4,1,3,2,4,2,1,3,3,5,3,4,1,2,3,3,4,5,4,2,1,2.8,1
512,5,4,3,2,1,1,5,5,4,4,3,2,1,1,2,2,3,1,5,4,3,3,3,2,1,2.8,1
597,2,4,2,1,1,2,4,4,5,5,5,5,2,2,1,1,1,2,4,4,2,4,2,4,1,2.8,1
641,5,3,1,1,5,3,5,4,4,4,5,1,1,3,1,1,1,1,3,3,3,3,1,3,5,2.8,1
883,1,2,1,3,5,1,3,5,4,4,5,3,2,3,2,2,2,1,3,4,2,4,3,2,3,2.8,1
900,2,3,3,1,4,1,3,3,2,1,5,4,2,4,4,3,2,1,4,4,2,2,4,1,5,2.8,1
912,4,5,2,3,3,2,4,3,2,3,2,4,2,2,1,2,2,2,3,2,2,3,4,3,5,2.8,1
71,5,4,3,1,5,2,3,3,4,3,2,4,2,5,1,2,4,1,3,2,4,4,2,1,1,2.84,1
142,1,2,1,2,1,3,5,2,3,4,2,1,2,2,1,3,2,3,5,4,5,4,4,4,5,2.84,1
250,5,1,3,1,4,2,5,2,1,3,4,5,3,2,1,2,3,4,5,4,3,2,1,2,3,2.84,1
267,1,1,1,1,1,3,2,5,2,1,2,1,1,1,5,4,5,4,4,4,5,5,5,5,2,2.84,1
356,2,1,3,4,3,4,5,3,2,3,1,2,2,4,4,2,1,5,4,1,4,5,2,3,1,2.84,1
821,1,4,5,1,3,1,5,5,1,3,5,1,1,5,4,4,1,1,3,2,4,4,2,1,4,2.84,1
902,1,3,4,4,3,1,3,4,2,2,3,2,2,4,3,3,2,2,3,3,3,3,4,3,4,2.84,1
910,1,1,1,3,4,1,4,4,4,2,5,3,1,3,3,4,3,1,3,3,3,4,3,2,5,2.84,1
911,2,3,4,2,3,3,3,4,2,3,3,2,2,3,3,2,3,2,3,2,4,3,3,5,2,2.84,1
43,1,1,5,3,5,1,5,5,4,2,1,3,1,3,1,1,3,5,1,3,2,5,2,4,5,2.88,1
52,5,4,3,2,1,1,2,5,4,3,2,1,1,2,3,4,5,4,3,2,1,2,3,4,5,2.88,1
65,5,3,1,1,5,3,4,5,4,3,1,1,5,4,2,1,1,1,2,1,4,5,5,4,1,2.88,1
105,5,4,5,1,5,5,5,4,4,2,5,1,1,2,2,2,1,1,2,2,1,2,3,3,4,2.88,1
353,3,4,5,2,1,3,5,3,3,3,4,3,1,2,2,1,2,1,3,4,3,2,4,5,3,2.88,1
642,5,5,3,1,5,1,4,3,1,1,1,1,1,5,1,1,4,5,3,2,5,3,4,5,2,2.88,1
802,1,5,4,1,5,1,4,4,4,1,4,1,1,4,4,3,1,1,5,2,3,4,2,4,3,2.88,1
860,5,1,1,3,5,4,4,3,2,4,4,1,1,3,3,1,1,1,2,3,4,4,4,4,4,2.88,1
861,1,3,2,2,4,1,5,4,3,2,4,2,1,4,3,4,2,1,3,3,3,4,5,2,4,2.88,1
12,5,3,5,1,5,1,1,5,1,2,5,1,1,5,2,4,2,5,1,3,5,1,5,1,3,2.92,1
15,1,1,2,4,1,1,4,4,4,3,2,3,1,3,4,4,4,3,2,3,4,4,4,3,4,2.92,1
26,1,1,1,2,5,3,5,4,3,4,5,2,1,3,4,4,1,1,4,2,3,3,2,4,5,2.92,1
208,5,4,2,3,1,1,3,3,4,2,4,3,1,2,5,3,1,2,3,4,5,3,3,4,2,2.92,1
242,3,4,2,2,1,3,5,3,3,5,5,1,2,4,3,2,1,2,3,4,5,4,3,2,1,2.92,1
310,5,4,1,2,5,1,3,2,3,4,4,2,2,3,1,5,3,3,2,3,3,5,4,1,2,2.92,1
399,5,1,3,1,4,1,3,2,4,2,1,3,3,5,3,4,1,3,3,2,3,4,5,5,2,2.92,1
765,5,3,4,2,4,1,3,4,5,2,4,2,1,4,2,5,2,4,2,4,2,1,4,2,1,2.92,1
795,3,2,1,3,5,1,3,5,3,3,5,1,1,4,3,3,1,1,4,1,4,4,4,3,5,2.92,1
815,1,1,3,1,5,1,5,4,1,4,5,1,2,4,4,3,3,3,3,3,3,3,3,2,5,2.92,1
848,5,3,1,2,4,2,1,5,5,1,1,5,3,4,1,5,2,3,5,3,3,1,1,3,4,2.92,1
849,1,1,3,3,4,1,5,3,4,4,4,2,2,2,3,3,1,4,1,3,4,5,3,3,4,2.92,1
868,1,3,3,1,4,2,5,5,2,5,5,2,2,3,3,3,2,1,4,1,2,3,4,3,4,2.92,1
891,4,3,2,3,3,1,3,2,2,2,2,2,3,4,4,4,2,2,5,3,4,4,3,2,4,2.92,1
897,4,4,2,1,3,1,4,3,3,3,4,2,2,3,3,4,2,3,2,4,2,4,3,3,4,2.92,1
898,1,1,3,1,4,3,4,3,4,2,5,3,2,4,4,4,2,2,3,2,3,4,3,2,4,2.92,1
907,4,3,1,1,4,1,3,4,1,4,5,4,3,3,3,3,2,1,3,3,4,3,3,2,5,2.92,1
6,1,2,5,3,5,4,5,2,4,5,1,1,1,2,2,3,2,1,2,2,4,4,5,4,4,2.96,1
51,5,4,3,2,1,2,3,5,4,3,2,1,1,2,3,4,5,4,3,2,1,2,3,4,5,2.96,1
181,5,5,1,1,4,1,5,4,2,1,3,2,1,5,5,5,2,1,1,3,3,5,1,3,5,2.96,1
215,5,2,4,2,4,1,3,3,5,2,4,1,3,5,2,4,1,5,2,4,1,5,2,3,1,2.96,1
256,4,5,2,3,1,1,5,5,5,4,4,3,3,2,2,1,1,2,5,4,3,3,2,3,1,2.96,1
371,1,5,2,2,5,5,5,5,3,2,1,1,2,5,2,4,1,1,2,3,4,3,4,3,3,2.96,1
557,3,3,4,2,4,3,2,3,3,4,2,3,3,2,2,5,2,1,3,3,4,4,5,2,2,2.96,1
728,1,4,2,5,1,3,4,4,5,4,2,5,2,4,1,2,4,1,3,1,5,2,3,1,5,2.96,1
885,1,3,3,2,4,1,4,4,3,4,4,3,2,3,3,4,3,2,3,3,4,3,4,1,3,2.96,1
904,1,4,5,3,4,1,5,4,3,2,4,3,2,3,4,4,2,2,3,1,2,3,4,2,3,2.96,1
906,1,1,3,2,4,1,4,3,4,4,5,3,3,3,4,3,3,2,3,3,3,2,3,4,3,2.96,1
10,5,5,5,4,2,1,4,4,4,3,3,3,2,2,3,3,2,2,2,2,2,2,3,3,4,3,1
40,5,4,2,3,5,1,4,5,3,5,2,4,1,3,2,4,2,1,3,1,5,1,3,5,1,3,1
74,5,1,1,1,2,3,4,3,2,4,3,1,3,1,1,1,1,5,4,5,5,5,4,5,5,3,1
148,5,3,1,1,5,3,5,2,2,2,5,1,1,3,5,2,2,2,4,5,3,1,3,5,4,3,1
413,3,2,4,2,4,2,4,4,2,5,3,1,3,2,4,3,1,4,4,4,1,5,3,1,4,3,1
499,4,2,5,3,2,4,2,5,2,5,2,5,2,4,1,4,1,4,2,1,5,1,5,3,1,3,1
533,4,3,3,2,3,4,3,2,2,2,4,2,3,2,2,2,3,2,4,4,5,5,2,5,2,3,1
571,3,3,2,2,3,2,3,3,4,2,3,2,3,3,3,3,2,2,4,4,4,5,4,4,2,3,1
603,3,1,1,2,3,3,5,2,5,2,2,5,1,1,3,5,5,5,5,1,1,2,5,4,3,3,1
610,5,2,4,2,5,3,1,5,4,2,1,3,4,3,1,5,3,1,5,4,3,2,4,2,1,3,1
626,5,3,2,4,2,3,2,5,3,4,2,4,2,4,2,4,2,3,2,1,5,3,4,2,2,3,1
787,5,4,1,4,3,1,3,5,5,4,1,2,1,5,1,2,1,1,3,3,4,4,5,3,4,3,1
788,4,3,2,3,3,3,4,3,3,4,3,1,3,5,2,3,2,2,5,3,3,3,3,4,1,3,1
791,4,3,3,3,3,1,4,4,3,3,3,4,1,3,2,3,2,3,5,2,3,3,4,3,3,3,1
792,2,3,3,1,5,2,5,3,3,3,1,3,3,5,3,4,2,4,5,1,2,4,2,3,3,3,1
800,2,1,3,2,5,1,4,5,1,4,5,1,1,4,3,3,1,1,5,4,4,4,3,4,4,3,1
853,5,5,4,1,5,2,1,5,4,4,2,2,1,2,2,2,2,2,4,2,2,2,4,5,5,3,1
909,3,1,5,3,3,4,3,3,4,1,2,1,2,4,4,3,2,2,4,5,2,5,2,4,3,3,1
90,5,3,5,3,3,1,5,4,3,3,1,2,1,4,3,4,2,4,1,4,3,3,2,4,3,3.04,1
212,4,3,5,3,2,3,1,5,3,1,5,3,1,4,3,5,2,1,4,3,1,5,3,1,5,3.04,1
224,3,1,4,2,4,1,3,5,2,3,1,5,2,4,4,2,4,3,1,5,3,2,4,4,4,3.04,1
339,3,1,4,1,2,3,4,3,4,3,4,3,4,3,3,3,3,1,4,4,3,2,4,3,4,3.04,1
357,5,3,4,2,1,4,5,4,3,2,1,4,3,2,1,2,2,4,5,3,2,2,3,5,4,3.04,1
414,3,1,4,2,4,1,3,5,2,3,1,5,2,4,1,5,3,2,4,3,5,2,4,4,3,3.04,1
497,5,1,4,2,4,1,3,5,2,4,1,4,2,5,2,4,2,4,2,4,1,5,2,4,3,3.04,1
660,5,1,3,1,4,1,3,2,4,2,1,3,3,5,4,5,2,5,3,2,3,1,5,4,4,3.04,1
692,3,1,4,1,3,2,4,2,1,3,3,5,3,4,1,3,5,3,5,3,5,3,1,5,3,3.04,1
736,5,4,3,4,4,3,2,5,3,4,2,4,2,4,2,2,4,2,3,2,3,2,3,2,2,3.04,1
753,4,5,2,1,4,1,5,2,2,4,1,5,2,5,1,3,5,2,1,4,5,2,4,2,4,3.04,1
794,3,4,1,1,5,1,4,5,3,1,5,1,1,5,1,5,1,4,5,1,3,4,4,4,4,3.04,1
796,5,5,1,1,4,1,4,4,5,4,4,1,1,5,3,4,1,2,5,1,2,4,2,4,3,3.04,1
797,3,3,2,4,5,1,4,3,3,5,5,1,1,4,2,4,1,2,2,1,5,4,3,4,4,3.04,1
801,5,3,3,2,4,1,3,5,2,2,5,1,1,5,4,2,2,2,4,2,3,5,2,4,4,3.04,1
828,3,4,3,1,5,3,4,5,1,1,2,3,3,4,3,4,2,2,4,3,3,4,2,4,3,3.04,1
844,3,1,1,5,5,1,4,4,4,4,1,4,2,4,4,2,4,2,1,2,4,4,4,4,2,3.04,1
845,1,3,4,5,2,1,5,5,3,4,5,2,1,3,3,4,2,2,3,2,4,3,1,3,5,3.04,1
862,5,5,5,1,5,2,5,4,2,3,2,2,2,3,2,2,2,4,3,4,2,2,2,4,3,3.04,1
890,3,4,1,4,4,1,3,3,4,3,3,4,1,2,4,4,4,2,3,2,2,3,5,4,3,3.04,1
47,5,5,1,4,1,2,1,3,2,5,4,4,3,3,4,2,2,1,4,4,5,3,5,3,1,3.08,1
186,5,5,4,1,5,1,4,4,2,4,4,2,2,2,4,4,2,2,2,1,1,5,4,4,3,3.08,1
202,5,4,2,4,2,1,5,5,3,2,4,3,2,3,3,4,2,1,1,4,2,5,3,5,2,3.08,1
313,5,4,5,3,2,1,5,5,4,3,2,1,4,3,3,4,1,3,4,3,2,1,2,4,3,3.08,1
498,4,5,5,3,2,2,1,3,4,2,5,3,1,2,4,3,5,2,4,1,4,2,4,5,1,3.08,1
506,4,2,5,2,4,1,3,4,2,4,2,5,1,3,2,5,2,3,4,5,3,1,4,2,4,3.08,1
522,2,2,4,3,2,2,4,4,2,2,2,5,3,2,2,2,2,3,3,3,4,4,5,5,5,3.08,1
770,3,3,2,4,5,3,2,3,4,4,1,2,2,3,4,3,2,2,4,3,4,5,4,4,1,3.08,1
790,3,3,3,3,3,1,3,4,3,3,4,2,1,4,5,5,2,2,4,2,3,3,4,3,4,3.08,1
839,3,1,3,3,5,3,5,4,3,2,4,2,2,3,3,3,2,1,5,3,4,4,2,3,4,3.08,1
5,3,5,2,1,5,3,4,4,3,2,1,2,2,5,3,4,1,5,4,3,3,4,4,1,4,3.12,1
54,5,4,3,2,1,2,3,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,5,3.12,1
165,5,2,1,1,5,4,5,3,4,5,5,4,1,3,1,4,2,2,2,1,2,5,4,3,4,3.12,1
188,5,2,1,1,5,4,5,3,4,5,5,4,1,3,1,4,2,2,2,1,2,5,4,3,4,3.12,1
248,4,2,5,3,1,4,2,3,5,2,4,1,3,5,2,4,1,3,5,2,4,2,4,2,5,3.12,1
285,3,5,2,4,3,1,4,2,4,2,5,2,4,2,5,4,1,3,5,1,3,2,4,2,5,3.12,1
293,5,3,4,2,3,4,5,5,3,2,1,3,5,3,1,1,1,3,1,5,5,1,4,4,4,3.12,1
419,4,2,4,1,3,2,3,4,2,4,4,2,5,4,2,4,5,2,4,3,1,4,4,3,2,3.12,1
492,5,4,5,3,5,4,3,5,4,5,4,3,1,3,2,1,2,3,2,1,3,2,4,3,1,3.12,1
634,4,2,4,3,4,3,4,5,2,4,3,4,1,3,5,1,3,4,2,3,1,4,2,4,3,3.12,1
723,5,4,1,3,1,1,2,4,3,5,1,2,4,5,2,3,4,3,5,5,2,2,4,5,2,3.12,1
789,3,3,1,1,3,3,3,5,5,3,4,3,1,3,5,4,1,1,3,2,4,4,5,4,4,3.12,1
858,1,1,2,4,2,2,5,5,4,3,2,5,2,3,4,2,4,3,2,3,3,3,4,5,4,3.12,1
879,1,3,1,1,5,1,5,4,3,5,5,3,1,2,4,5,2,1,3,4,2,3,5,5,4,3.12,1
895,1,1,3,3,5,1,4,3,3,5,5,4,2,3,4,4,2,2,2,3,3,3,3,4,5,3.12,1
100,1,5,1,4,3,1,5,3,3,3,5,2,4,4,1,1,3,3,2,4,3,4,4,5,5,3.16,1
175,5,4,5,1,5,4,4,5,1,4,4,3,1,1,5,3,3,1,3,5,2,1,3,5,1,3.16,1
191,5,4,5,3,2,1,5,2,2,4,2,5,4,2,3,3,4,2,2,3,1,5,4,1,5,3.16,1
206,4,3,4,2,3,1,2,4,2,5,2,4,3,5,1,5,4,1,4,2,5,3,1,5,4,3.16,1
311,5,4,3,5,4,3,1,5,4,3,5,3,1,3,2,3,2,1,3,2,4,2,4,5,2,3.16,1
411,4,2,4,1,4,2,3,5,4,2,1,4,4,5,2,4,5,2,4,1,4,2,4,2,4,3.16,1
425,5,3,1,5,4,4,3,5,4,1,4,4,1,5,3,1,5,2,3,4,2,1,4,2,3,3.16,1
484,3,3,2,4,3,4,1,5,4,3,2,5,1,4,4,1,3,3,5,4,5,1,5,3,1,3.16,1
676,5,1,3,1,4,1,3,2,4,2,1,3,3,5,4,3,5,4,5,5,4,2,3,4,2,3.16,1
722,4,1,5,3,4,3,4,3,3,4,2,4,1,3,5,2,4,1,5,3,1,4,4,1,5,3.16,1
819,3,5,1,1,4,1,5,4,2,5,5,1,3,5,1,4,1,2,5,4,3,5,2,3,4,3.16,1
822,3,2,2,4,4,1,4,5,2,4,5,2,1,4,3,3,3,3,2,3,3,4,5,4,3,3.16,1
827,3,3,3,4,5,1,4,5,4,4,4,2,2,3,2,2,2,3,3,3,4,3,2,5,3,3.16,1
832,2,5,1,4,5,1,5,4,2,3,4,3,2,4,2,2,2,2,5,3,4,3,3,5,3,3.16,1
288,3,5,3,5,3,2,4,5,4,3,4,5,4,5,2,1,2,1,1,1,5,4,5,1,2,3.2,1
426,5,3,4,2,4,1,3,5,4,3,2,1,3,4,3,2,1,4,2,3,5,4,5,2,5,3.2,1
432,5,4,3,2,5,3,7,2,4,4,1,3,3,3,3,2,5,3,4,4,2,1,4,2,1,3.2,1
480,4,0,3,2,4,3,5,4,1,5,3,5,1,4,4,2,4,3,1,5,3,2,4,3,5,3.2,1
518,3,2,3,3,2,2,2,4,4,5,5,5,3,3,2,2,3,5,5,2,2,3,2,3,5,3.2,1
519,3,2,3,5,2,2,3,3,2,1,1,4,4,5,5,1,2,2,4,4,5,5,5,5,2,3.2,1
559,2,2,4,2,2,3,3,4,3,2,3,3,4,2,3,4,2,3,3,4,5,5,6,4,2,3.2,1
672,4,2,4,1,4,2,3,5,4,2,1,4,4,5,4,5,1,1,2,2,5,4,2,5,4,3.2,1
775,5,1,1,2,1,1,4,5,5,5,2,4,2,4,2,5,2,4,2,3,4,5,2,4,5,3.2,1
798,1,1,5,1,4,1,4,4,4,4,4,3,1,5,5,2,2,3,5,4,4,3,3,4,3,3.2,1
814,1,4,4,3,4,1,4,5,1,2,5,2,4,4,2,3,3,3,5,3,4,2,3,4,4,3.2,1
830,3,4,3,3,4,3,5,4,3,3,5,1,1,5,4,3,2,2,2,2,4,3,3,4,4,3.2,1
908,3,3,2,3,3,3,3,5,4,3,2,3,3,2,4,3,3,5,3,2,4,4,4,3,3,3.2,1
18,5,4,4,4,2,4,4,3,4,5,2,2,1,4,4,2,2,2,4,4,3,2,4,2,4,3.24,1
169,5,5,5,3,4,2,4,5,4,4,3,1,1,2,3,3,2,4,2,2,2,3,2,5,5,3.24,1
173,2,1,1,5,5,1,5,5,3,3,3,5,2,2,4,4,2,1,4,1,5,5,5,3,4,3.24,1
221,4,2,4,1,4,2,3,5,4,2,1,4,4,4,2,1,2,1,5,4,3,5,5,5,4,3.24,1
235,5,3,1,5,4,4,3,5,4,1,4,4,1,5,3,5,1,1,3,5,3,3,4,3,1,3.24,1
331,5,5,2,5,1,2,5,5,4,4,2,4,2,1,4,5,1,2,5,2,3,5,2,3,2,3.24,1
354,5,2,4,3,4,4,5,3,2,4,4,3,3,1,2,5,3,1,4,2,4,3,5,1,4,3.24,1
365,5,4,3,4,5,3,5,5,1,3,4,3,1,3,4,2,4,1,3,5,2,4,2,4,1,3.24,1
373,1,4,2,1,3,1,4,5,3,4,5,1,3,5,2,5,3,1,5,3,4,5,4,4,3,3.24,1
422,4,2,5,2,4,4,5,3,1,4,3,5,3,1,5,2,3,3,5,5,4,3,2,2,1,3.24,1
611,5,3,5,2,5,2,4,5,5,3,2,4,3,1,4,2,5,3,4,2,3,1,4,1,3,3.24,1
615,2,3,4,5,2,3,4,4,2,4,2,5,4,2,4,4,1,2,4,3,3,5,4,2,3,3.24,1
629,5,4,5,4,1,2,4,3,5,3,4,5,2,1,3,1,2,1,3,4,3,4,3,4,5,3.24,1
632,5,5,4,1,1,1,3,5,4,3,2,4,3,5,4,5,3,4,3,1,2,1,3,4,5,3.24,1
638,5,3,4,2,3,2,4,5,3,3,3,4,2,5,2,4,2,5,3,3,3,3,3,4,1,3.24,1
669,4,4,3,1,3,4,5,2,4,4,2,2,4,5,3,1,5,2,3,4,2,5,3,2,4,3.24,1
697,3,3,4,4,4,5,1,1,1,3,3,5,3,4,2,3,1,5,5,1,4,4,4,3,5,3.24,1
724,1,2,4,5,3,2,1,4,3,3,5,4,3,5,4,3,3,5,4,2,5,1,5,3,1,3.24,1
782,3,3,3,3,4,1,4,5,4,5,4,2,3,2,3,4,2,2,4,4,2,4,1,4,5,3.24,1
812,3,5,3,2,5,3,5,4,2,3,4,2,2,3,4,2,2,2,3,3,4,5,2,4,4,3.24,1
903,3,1,1,3,4,1,5,5,2,5,5,4,2,3,5,4,3,1,3,3,4,4,3,4,3,3.24,1
157,5,5,1,1,3,1,5,4,3,4,4,3,1,3,2,4,5,5,3,3,4,3,5,1,4,3.28,1
243,5,4,2,1,3,1,1,5,4,5,3,4,3,3,4,3,2,2,3,4,5,5,4,3,3,3.28,1
244,3,4,5,3,1,5,2,3,3,4,5,5,4,3,2,1,1,2,3,4,5,5,4,3,2,3.28,1
279,3,3,3,3,3,1,4,4,5,3,3,3,3,2,1,4,4,5,4,2,3,5,1,5,5,3.28,1
292,4,2,5,2,4,4,5,3,1,4,3,5,3,5,3,4,1,2,3,3,4,5,4,2,1,3.28,1
329,5,5,2,5,1,2,5,5,2,4,4,2,2,1,4,5,1,2,5,2,1,5,5,2,5,3.28,1
404,5,3,3,3,4,4,4,5,1,1,1,3,3,5,3,4,2,3,4,3,5,5,5,2,1,3.28,1
574,5,3,3,2,1,3,5,5,3,2,3,4,1,5,3,4,2,5,3,5,2,1,4,5,3,3.28,1
636,5,3,4,2,5,3,2,4,2,5,3,1,3,4,2,3,4,2,4,2,5,4,2,3,5,3.28,1
7,5,5,5,5,5,5,5,4,4,3,2,3,1,3,3,3,2,2,2,2,2,3,3,3,3,3.32,1
50,5,4,3,2,1,1,2,5,4,3,2,1,1,4,5,4,3,4,5,4,3,2,5,5,5,3.32,1
158,4,4,3,5,4,1,3,3,4,4,4,3,1,3,2,4,5,5,4,3,5,3,2,1,3,3.32,1
161,5,1,5,1,5,4,5,4,1,5,3,3,2,2,4,4,2,2,2,3,4,4,4,4,4,3.32,1
178,5,5,4,1,5,3,5,2,2,1,3,3,3,3,5,3,1,2,2,5,5,3,5,4,3,3.32,1
190,5,1,1,1,5,1,5,4,2,4,4,2,2,4,4,5,4,5,3,4,5,3,2,3,4,3.32,1
236,5,3,4,2,4,1,3,5,4,3,2,1,3,3,5,3,4,1,5,3,4,2,5,3,5,3.32,1
258,3,3,5,5,3,3,1,5,5,3,4,4,3,4,2,1,2,1,5,4,3,5,5,1,3,3.32,1
332,5,5,2,5,1,2,5,5,4,4,2,4,2,1,4,5,1,2,4,5,4,4,2,3,2,3.32,1
471,5,4,1,4,2,4,3,4,3,4,3,3,1,3,2,3,3,3,4,4,4,3,4,4,5,3.32,1
563,4,2,2,4,2,3,2,2,3,2,4,3,3,4,4,3,2,2,3,4,5,5,5,5,5,3.32,1
581,5,4,4,1,3,2,3,5,4,3,4,4,2,2,4,3,4,3,3,3,4,3,4,3,3,3.32,1
665,5,3,3,3,4,4,4,5,1,1,1,3,3,4,4,1,5,4,4,1,5,5,2,4,4,3.32,1
670,3,4,3,4,3,2,1,4,3,2,4,4,4,3,3,3,2,4,3,4,4,5,4,5,2,3.32,1
785,4,4,4,4,4,4,4,4,3,4,5,5,1,3,4,2,1,4,2,2,1,2,4,4,4,3.32,1
799,1,4,5,3,5,1,4,4,3,3,5,2,1,5,4,3,2,3,4,2,4,4,3,4,4,3.32,1
803,1,4,1,3,4,1,1,5,4,4,5,4,3,4,4,4,2,2,5,4,4,3,4,3,4,3.32,1
804,3,3,3,3,4,2,4,4,2,3,5,3,2,5,3,3,2,2,5,5,4,2,4,4,3,3.32,1
